rating_id,clip_id,clip_path,media_sha256,true_label,rating_source,gold_source,judge_role,calibration_stratum,inclusion_probability
r_e47f53375a9b6c1ec3b9,t6_r_e47f53375a9b6c1ec3b9,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/held_out_0223/candidate_03_seed2026531703.wav,ef3170c69d3d85afc3da254b0ecb5c6ef02acf6cb473ce0ede5549ac09049b76,yes,pi:Richard,t6_fresh_pi,judge_evaluation,instrumental|boundary|old0|corrected1|disagree1|spine,0.04
r_ed9bc949444598a804e3,t6_r_ed9bc949444598a804e3,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/held_out_0055/candidate_07_seed2026363707.wav,9fb7844f3226c91ddba53fc606019e38de54e56d1658265682a16d70cda4b7ee,yes,pi:Richard,t6_fresh_pi,judge_evaluation,vocal|boundary|old0|corrected1|disagree1|spine,0.009765625
r_841abdf57a8e324d8759,t6_r_841abdf57a8e324d8759,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/held_out_0069/candidate_03_seed2026377703.wav,db1ad24189f7530f2454fc51c006fc92775e7ddbfacfdf473c9933933257786b,yes,pi:Richard,t6_fresh_pi,judge_evaluation,vocal|low|old0|corrected1|disagree1|spine,0.02112676056338028
r_f5e0250776f69d16d969,t6_r_f5e0250776f69d16d969,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/stage3_intervention_20260707/keep/full64/vocal_hints/held_out_0254/vocal_hints_s23_2033102023.flac,be5aaf6587c2d04e7e0a983985265201f1f907ff3997c28095e590bb222bcd65,yes,pi:Richard,t6_fresh_pi,judge_evaluation,vocal|low|old0|corrected1|disagree1|Stage3,0.008771929824561403
r_96ff5174a29b37f7cd55,t6_r_96ff5174a29b37f7cd55,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/held_out_0036/candidate_02_seed2026344702.wav,e50941a49c12cadd13e1a01a35132b98727d7be82b757edf03ca358e0d720d08,yes,pi:Richard,t6_fresh_pi,judge_evaluation,vocal|boundary|old0|corrected1|disagree1|spine,0.012307692307692308
r_3f4812a10d7ea37232e2,t6_r_3f4812a10d7ea37232e2,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/held_out_0140/candidate_03_seed2026448703.wav,605d73ee0b179780946eb3be34f06b40e9ede0302af196e463a2f42bd42b32b3,yes,pi:Richard,t6_fresh_pi,judge_evaluation,instrumental|boundary|old1|corrected1|disagree0|spine,0.05454545454545454
r_c85a07f7b6101fe2c935,t6_r_c85a07f7b6101fe2c935,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/held_out_0184/candidate_07_seed2026492707.wav,4109178d2d3a19851d1048b241efd97bbea544df075dc59b3cf7602af0ac47b7,yes,pi:Richard,t6_fresh_pi,judge_evaluation,vocal|boundary|old1|corrected1|disagree0|spine,0.009765625
r_bf1911ccd774450b459b,t6_r_bf1911ccd774450b459b,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/dev_0151/candidate_06_seed2026203706.wav,61fb86d3f67f8757e393a2e6a2817ef848a6de0eec5aff547e72e7c5f94a8811,yes,pi:Richard,t6_fresh_pi,judge_evaluation,instrumental|low|old1|corrected1|disagree0|spine,0.35714285714285715
r_91327ec3c3d59ef86170,t6_r_91327ec3c3d59ef86170,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/held_out_0192/candidate_02_seed2026500702.wav,0e3bf88597cfe6c63992ebc36c34b4881ef69b7e3a7c6900f6d0c0899f06d0e6,yes,pi:Richard,t6_fresh_pi,judge_evaluation,instrumental|low|old0|corrected1|disagree1|spine,0.05102040816326531
r_a55e2e67d4d889c4fc0f,t6_r_a55e2e67d4d889c4fc0f,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/dev_0058/candidate_04_seed2026110704.wav,b7993f1ce10e643cd01beb441e4820e7c5683c710c3ff88b6281d43294723d0f,no,pi:Richard,t6_fresh_pi,judge_evaluation,instrumental|low|old0|corrected0|disagree0|spine,0.005482456140350877
