rating_id,source_id,category,source_path,prompt_id,requested_vocal,qwen_label,demucs_label,vocal_energy_ratio,selection_note,package_media_path,sha256,shuffle_seed
decisive_01_6c137151640e,aprime_0197,judge_yes_demucs_no_20,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0197_324eca992714.flac,held_out_0119,1,yes,no,0.05263,ratio_histogram_quantile_08_of_20,paper_prep/pi_decisive_packet_20260709/media/decisive_01_6c137151640e.flac,91c7adc9ba23db61d0a97714461eec2e63f39d07f5dc522f645cea30119b6d3e,20260709
decisive_02_9643022ddbf6,e85969841f,rare_basin_6,paper_prep/validation_A_prime/human_package/media/aprime_human_0565.flac,held_out_0045,1,,no,,original rare-basin diagnostic,paper_prep/pi_decisive_packet_20260709/media/decisive_02_9643022ddbf6.flac,d28ce6bba4aae71294cec8638028e9a1041a0dab79971bbd93bb4121d8fcf234,20260709
decisive_03_274ef1cb38b6,aprime_0003,obvious_agreement_control_6,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0003_64f47dfbce46.flac,held_out_0199,1,no,no,0.00297,detector/judge agreement far from threshold,paper_prep/pi_decisive_packet_20260709/media/decisive_03_274ef1cb38b6.flac,6963a95799c77b1d0b729b4a5719ebf795a67eb5f680498d02c164bd8001584a,20260709
decisive_04_a5f338f1ce29,rare_0008,rare_basin_6,paper_prep/validation_A_prime/human_package/media/aprime_human_0542.flac,held_out_0254,1,,yes,,original rare-basin diagnostic,paper_prep/pi_decisive_packet_20260709/media/decisive_04_a5f338f1ce29.flac,a2e10bbf4a527a5b951324e2a441cdb159fb2b69c9e468f45a113bd507b82297,20260709
decisive_05_74e8e1d035d2,86d96700b5,threshold_near_6,paper_prep/validation_A_prime/human_package/media/aprime_human_0704.wav,dev_0052,1,yes,no,0.17826,abs_ratio_delta=0.00084000,paper_prep/pi_decisive_packet_20260709/media/decisive_05_74e8e1d035d2.wav,e0e0ab925c0f2f6cf8ab8022713bc905057173af0fb25d624ff36295ca5cce38,20260709
decisive_06_46b6240897e0,aprime_0097,judge_yes_demucs_no_20,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0097_5b62d5959ea7.flac,held_out_0021,1,yes,no,0.11161,ratio_histogram_quantile_15_of_20,paper_prep/pi_decisive_packet_20260709/media/decisive_06_46b6240897e0.flac,ec76f842bd875e48185d689db5f6a13dda0f962044c76690f251df1183f9a487,20260709
decisive_07_df9c1a8daced,aprime_0401,judge_yes_demucs_no_20,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0401_308d938206fe.flac,held_out_0142,1,yes,no,0.02207,ratio_histogram_quantile_03_of_20,paper_prep/pi_decisive_packet_20260709/media/decisive_07_df9c1a8daced.flac,34fcdfb4ec9135ac936272829ff0649ee6b4172635e0cc0b98cc1d1f20a494ee,20260709
decisive_08_bdd3c4f3fe05,aprime_0208,judge_yes_demucs_no_20,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0208_00db4de3fee3.flac,held_out_0020,0,yes,no,0.06663,ratio_histogram_quantile_11_of_20,paper_prep/pi_decisive_packet_20260709/media/decisive_08_bdd3c4f3fe05.flac,7d3ae0daafaebf7060f0ba4dd73b2810d4ad649622a2690090241176f7ce136f,20260709
decisive_09_91f361499026,5ae3e43aef,threshold_near_6,paper_prep/validation_A_prime/human_package/media/aprime_human_0661.wav,dev_0039,1,yes,no,0.17865,abs_ratio_delta=0.00045000,paper_prep/pi_decisive_packet_20260709/media/decisive_09_91f361499026.wav,a2d4c606860a67b7e19e02819f7da9ac0eed2c4d9bf14560eb9e144cd08c26c1,20260709
decisive_10_76cccbd6e601,aprime_0447,judge_yes_demucs_no_20,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0447_f2bb8fc1d89d.flac,held_out_0001,1,yes,no,0.04146,ratio_histogram_quantile_06_of_20,paper_prep/pi_decisive_packet_20260709/media/decisive_10_76cccbd6e601.flac,7de45b2fdfc6d49ab39003ce452e7a165fb78b2509e617772384952be5c852ab,20260709
