task_id,original_task_id,prompt_rank,prompt_id,condition,seed_idx,seed,cfg_scale,duration_seconds,corrected_full_text,corrected_text_sha256,output_path,analysis_role,invalid_predecessor_path,seed_policy
w2fact_00_2_00_positive_v2,w2fact_00_2_00,0,held_out_0238,positive_text,0,2034000000,5.0,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_text/held_out_0238/positive_text_v2_s00_2034000000.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s00_2034000000.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_2_01_positive_v2,w2fact_00_2_01,0,held_out_0238,positive_text,1,2034000001,5.0,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_text/held_out_0238/positive_text_v2_s01_2034000001.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s01_2034000001.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_2_02_positive_v2,w2fact_00_2_02,0,held_out_0238,positive_text,2,2034000002,5.0,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_text/held_out_0238/positive_text_v2_s02_2034000002.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s02_2034000002.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_2_03_positive_v2,w2fact_00_2_03,0,held_out_0238,positive_text,3,2034000003,5.0,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_text/held_out_0238/positive_text_v2_s03_2034000003.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s03_2034000003.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_2_04_positive_v2,w2fact_00_2_04,0,held_out_0238,positive_text,4,2034000004,5.0,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_text/held_out_0238/positive_text_v2_s04_2034000004.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s04_2034000004.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_2_05_positive_v2,w2fact_00_2_05,0,held_out_0238,positive_text,5,2034000005,5.0,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_text/held_out_0238/positive_text_v2_s05_2034000005.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s05_2034000005.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_2_06_positive_v2,w2fact_00_2_06,0,held_out_0238,positive_text,6,2034000006,5.0,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_text/held_out_0238/positive_text_v2_s06_2034000006.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s06_2034000006.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_2_07_positive_v2,w2fact_00_2_07,0,held_out_0238,positive_text,7,2034000007,5.0,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_text/held_out_0238/positive_text_v2_s07_2034000007.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s07_2034000007.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_2_08_positive_v2,w2fact_00_2_08,0,held_out_0238,positive_text,8,2034000008,5.0,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_text/held_out_0238/positive_text_v2_s08_2034000008.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s08_2034000008.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_2_09_positive_v2,w2fact_00_2_09,0,held_out_0238,positive_text,9,2034000009,5.0,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_text/held_out_0238/positive_text_v2_s09_2034000009.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s09_2034000009.flac,exact_CRN_replacement_not_independent_observation
