rating_id,quality_preference,constraint_preference,overall_preference,confidence_1_to_5,notes,prompt_text,request_mode,request_revealed,quality_answer_sequence,reveal_sequence,constraint_answer_sequence,overall_answer_sequence,rating_source,bundle_rating_id,exported_at
bprime_0082_df90dca11c26,tie,tie,tie,3,,A warm analog electronic tune a slow. (purely instrumental; treat lyrics field as empty).,instrumental,True,1,2,3,4,pi:Richard,r_32feff5d831c9cdcccc0,2026-07-12T17:09:36.829Z
bprime_0088_52e9785f3f39,b,b,b,3,,"A wistful pop track at a brisk 145 bpm, featuring layered choir-like vocal stacks over plucked guitar. Lyrics in English.",vocal,True,5,6,7,8,pi:Richard,r_47904867cb47419487c1,2026-07-12T17:09:36.829Z
bprime_0081_36883e0be0d9,a,a,a,3,,"A stomping rock number at mid-tempo around 105 bpm, featuring two interlocking guitars, one clean one driven, with a melodic bassline. Lyrics in English.",vocal,True,9,10,11,12,pi:Richard,r_daf22c3848fee5dbaba3,2026-07-12T17:09:36.829Z
bprime_0090_76207311afe1,a,a,a,4,,Ballad-tempo jazz mood. Ballad-paced. Instrumental — no vocals.,instrumental,True,13,14,15,16,pi:Richard,r_8412ac86fe1ba206f3da,2026-07-12T17:09:36.829Z
bprime_0093_652bcaca0fef,tie,tie,tie,4,,A moody hip_hop cut a slow. Lyrics in English.,vocal,True,17,18,19,20,pi:Richard,r_451dccdfbd3b8bb4a519,2026-07-12T17:09:36.829Z
bprime_0087_c26e8331f6b7,b,b,b,2,,"I'm in the mood for pastoral classical — slow, if you can. Instrumental — no vocals.",instrumental,True,21,22,23,24,pi:Richard,r_c7cf28411935472a7815,2026-07-12T17:09:36.829Z
bprime_0098_a2ec47936a2f,tie,tie,tie,3,,"A lonesome folk × hip-hop fusion (summer-block-party touches) tune energetic around 135 bpm, featuring pump organ, acoustic guitar, distant violin, with a multi-section arc, with three verses and a recurring refrain, in English.",vocal,True,25,26,27,28,pi:Richard,r_d2e55cc1f8a754a372b2,2026-07-12T17:09:36.829Z
bprime_0094_c00387063c17,a,a,a,3,,"A synthwave-leaning electronic × folk fusion (plain-spoken touches) composition around 80 bpm, featuring warm analog bass, claps on 2 and 4, slowly opening filter. Lyrics in English.",vocal,True,29,30,32,31,pi:Richard,r_ea04ed1265668c57303f,2026-07-12T17:09:36.829Z
bprime_0103_40e8cc8ad6d0,tie,tie,tie,4,,"An introspective jazz piece lingering, featuring guitar trio with hollow-body tone and brushed snare. (purely instrumental; treat lyrics field as empty).",instrumental,True,33,34,35,36,pi:Richard,r_6d68af467ac83af664bb,2026-07-12T17:09:36.829Z
bprime_0091_a52b2286485b,tie,tie,tie,5,,"A gritty rock tune at a gentle tempo around 75 bpm, featuring two interlocking guitars, one clean one driven, with a melodic bassline, in verse-chorus form, with an outro that drops to just bass and voice, in English.",vocal,True,37,38,39,40,pi:Richard,r_007372be5a07e0e3a568,2026-07-12T17:09:36.829Z
