task_id,source_spine_row,record_id,prompt_id,prompt_source,prompt_serialized_sha256,candidate_index,candidate_seed,candidate_uid,vocal_stratum,requested_vocal,generation_role,source_audio_path,target_audio_path,generation_output_path,historical_old_ratio,historical_old_near_silent,historical_old_present_0p1791,historical_old_ledger,cfg_scale,steps,cfg_type,guidance_interval,dtype
dev_0000__cand00,1,ba488d347489ac1a9ff8ab7e,dev_0000,configs/prompts/dev.jsonl,a06ee495d94a4c8ba9f56e77e246860261f01dc899b2ce8029e5616cd8442101,0,2026052700,dev_0000__cand00,vocal,1,surviving_original_audit_replay,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/runs/adsr_recollect_smoke_20260604/shard00/audio/dev_0000/candidate_00_seed2026052700.wav,runs/adsr_recollect_smoke_20260604/shard00/audio/dev_0000/candidate_00_seed2026052700.wav,paper_prep/w2_execution_20260712/spine_reconstruction/survivor_audit_replay/dev_0000/candidate_00_seed2026052700.wav,0.20195,false,1,orbit-research/adsr_phase2_20260604/vocal_presence_raw.jsonl,5.0,30,cfg,0.5,bfloat16
dev_0000__cand01,2,009df0d3117a0aba07bc7570,dev_0000,configs/prompts/dev.jsonl,a06ee495d94a4c8ba9f56e77e246860261f01dc899b2ce8029e5616cd8442101,1,2026052701,dev_0000__cand01,vocal,1,missing_spine_reconstruction,,paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0000/candidate_01_seed2026052701.wav,paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0000/candidate_01_seed2026052701.wav,0.09944,false,0,orbit-research/adsr_phase2_20260604/vocal_presence_raw.jsonl,5.0,30,cfg,0.5,bfloat16
dev_0000__cand02,3,2802c4d00eebdcc9f5e1e53c,dev_0000,configs/prompts/dev.jsonl,a06ee495d94a4c8ba9f56e77e246860261f01dc899b2ce8029e5616cd8442101,2,2026052702,dev_0000__cand02,vocal,1,missing_spine_reconstruction,,paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0000/candidate_02_seed2026052702.wav,paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0000/candidate_02_seed2026052702.wav,0.21587,false,1,orbit-research/adsr_phase2_20260604/vocal_presence_raw.jsonl,5.0,30,cfg,0.5,bfloat16
dev_0000__cand03,4,689aecba13280cd01e2b739d,dev_0000,configs/prompts/dev.jsonl,a06ee495d94a4c8ba9f56e77e246860261f01dc899b2ce8029e5616cd8442101,3,2026052703,dev_0000__cand03,vocal,1,missing_spine_reconstruction,,paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0000/candidate_03_seed2026052703.wav,paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0000/candidate_03_seed2026052703.wav,0.42575,false,1,orbit-research/adsr_phase2_20260604/vocal_presence_raw.jsonl,5.0,30,cfg,0.5,bfloat16
dev_0000__cand04,5,1829d4b41aad5609f6acc0e4,dev_0000,configs/prompts/dev.jsonl,a06ee495d94a4c8ba9f56e77e246860261f01dc899b2ce8029e5616cd8442101,4,2026052704,dev_0000__cand04,vocal,1,missing_spine_reconstruction,,paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0000/candidate_04_seed2026052704.wav,paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0000/candidate_04_seed2026052704.wav,0.87403,false,1,orbit-research/adsr_phase2_20260604/vocal_presence_raw.jsonl,5.0,30,cfg,0.5,bfloat16
dev_0000__cand05,6,5702389495b12fec73bd3b75,dev_0000,configs/prompts/dev.jsonl,a06ee495d94a4c8ba9f56e77e246860261f01dc899b2ce8029e5616cd8442101,5,2026052705,dev_0000__cand05,vocal,1,missing_spine_reconstruction,,paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0000/candidate_05_seed2026052705.wav,paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0000/candidate_05_seed2026052705.wav,0.40691,false,1,orbit-research/adsr_phase2_20260604/vocal_presence_raw.jsonl,5.0,30,cfg,0.5,bfloat16
dev_0000__cand06,7,9295355b3c2e0483432624e6,dev_0000,configs/prompts/dev.jsonl,a06ee495d94a4c8ba9f56e77e246860261f01dc899b2ce8029e5616cd8442101,6,2026052706,dev_0000__cand06,vocal,1,missing_spine_reconstruction,,paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0000/candidate_06_seed2026052706.wav,paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0000/candidate_06_seed2026052706.wav,0.51165,false,1,orbit-research/adsr_phase2_20260604/vocal_presence_raw.jsonl,5.0,30,cfg,0.5,bfloat16
dev_0000__cand07,8,529641ad98e64b895f48033f,dev_0000,configs/prompts/dev.jsonl,a06ee495d94a4c8ba9f56e77e246860261f01dc899b2ce8029e5616cd8442101,7,2026052707,dev_0000__cand07,vocal,1,missing_spine_reconstruction,,paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0000/candidate_07_seed2026052707.wav,paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0000/candidate_07_seed2026052707.wav,0.15341,false,0,orbit-research/adsr_phase2_20260604/vocal_presence_raw.jsonl,5.0,30,cfg,0.5,bfloat16
dev_0001__cand00,9,fcb43c97c2ff67afe4a72127,dev_0001,configs/prompts/dev.jsonl,26fdcd4405253d4669c045cec6abcbe3f95e4c4619745057ba2d55a1fe44a750,0,2026053700,dev_0001__cand00,instrumental,0,missing_spine_reconstruction,,paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0001/candidate_00_seed2026053700.wav,paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0001/candidate_00_seed2026053700.wav,0.00038,false,0,orbit-research/adsr_phase2_20260604/vocal_presence_raw.jsonl,5.0,30,cfg,0.5,bfloat16
dev_0001__cand01,10,f210f4670f734379504c62e8,dev_0001,configs/prompts/dev.jsonl,26fdcd4405253d4669c045cec6abcbe3f95e4c4619745057ba2d55a1fe44a750,1,2026053701,dev_0001__cand01,instrumental,0,missing_spine_reconstruction,,paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0001/candidate_01_seed2026053701.wav,paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0001/candidate_01_seed2026053701.wav,0.0,false,0,orbit-research/adsr_phase2_20260604/vocal_presence_raw.jsonl,5.0,30,cfg,0.5,bfloat16
dev_0001__cand02,11,2cf965bf633d15831218b4c5,dev_0001,configs/prompts/dev.jsonl,26fdcd4405253d4669c045cec6abcbe3f95e4c4619745057ba2d55a1fe44a750,2,2026053702,dev_0001__cand02,instrumental,0,missing_spine_reconstruction,,paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0001/candidate_02_seed2026053702.wav,paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0001/candidate_02_seed2026053702.wav,0.07145,false,0,orbit-research/adsr_phase2_20260604/vocal_presence_raw.jsonl,5.0,30,cfg,0.5,bfloat16
dev_0001__cand03,12,b5c72c2b157f83139dda41fb,dev_0001,configs/prompts/dev.jsonl,26fdcd4405253d4669c045cec6abcbe3f95e4c4619745057ba2d55a1fe44a750,3,2026053703,dev_0001__cand03,instrumental,0,missing_spine_reconstruction,,paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0001/candidate_03_seed2026053703.wav,paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0001/candidate_03_seed2026053703.wav,0.0,false,0,orbit-research/adsr_phase2_20260604/vocal_presence_raw.jsonl,5.0,30,cfg,0.5,bfloat16
dev_0001__cand04,13,e5c4614b85b42e945974effb,dev_0001,configs/prompts/dev.jsonl,26fdcd4405253d4669c045cec6abcbe3f95e4c4619745057ba2d55a1fe44a750,4,2026053704,dev_0001__cand04,instrumental,0,missing_spine_reconstruction,,paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0001/candidate_04_seed2026053704.wav,paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0001/candidate_04_seed2026053704.wav,0.0,false,0,orbit-research/adsr_phase2_20260604/vocal_presence_raw.jsonl,5.0,30,cfg,0.5,bfloat16
dev_0001__cand05,14,f9d5e1270cf33988c0804d12,dev_0001,configs/prompts/dev.jsonl,26fdcd4405253d4669c045cec6abcbe3f95e4c4619745057ba2d55a1fe44a750,5,2026053705,dev_0001__cand05,instrumental,0,missing_spine_reconstruction,,paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0001/candidate_05_seed2026053705.wav,paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0001/candidate_05_seed2026053705.wav,0.2248,false,1,orbit-research/adsr_phase2_20260604/vocal_presence_raw.jsonl,5.0,30,cfg,0.5,bfloat16
dev_0001__cand06,15,6c874334924daae22932d201,dev_0001,configs/prompts/dev.jsonl,26fdcd4405253d4669c045cec6abcbe3f95e4c4619745057ba2d55a1fe44a750,6,2026053706,dev_0001__cand06,instrumental,0,missing_spine_reconstruction,,paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0001/candidate_06_seed2026053706.wav,paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0001/candidate_06_seed2026053706.wav,0.0,false,0,orbit-research/adsr_phase2_20260604/vocal_presence_raw.jsonl,5.0,30,cfg,0.5,bfloat16
