pair_id,row_index,baseline_row_index,prompt_id,seed_idx,seed,original_prompt,intervention_prompt,baseline_audio_path,intervention_audio_path,baseline_ratio,intervention_ratio,baseline_present,intervention_present,steps,cfg_scale,duration_s_requested,baseline_clap_original_prompt,baseline_duration_s,baseline_sample_rate,baseline_rms,baseline_loudness_dbfs,baseline_peak,baseline_near_silent,baseline_spectral_centroid_hz,baseline_spectral_flatness,baseline_prompt_diversity,intervention_clap_original_prompt,intervention_duration_s,intervention_sample_rate,intervention_rms,intervention_loudness_dbfs,intervention_peak,intervention_near_silent,intervention_spectral_centroid_hz,intervention_spectral_flatness,intervention_prompt_diversity,delta_clap_original_prompt,delta_loudness_dbfs,delta_spectral_centroid_hz,delta_prompt_diversity,delta_present
sa3pair_000,0,8,held_out_0193,0,2026070900,"A raw rock × electronic fusion (garage-flavored touches) piece driving at 140 bpm, featuring distorted guitars, tight drums, bass walking under the riff. Lyrics in Chinese (Mandarin). Lyrics: 雨停了又下","Clear lead human singing with audible vocals, prominent sung vocal melody, lead voice present throughout, intelligible vocal line. A raw rock × electronic fusion (garage-flavored touches) piece driving at 140 bpm, featuring distorted guitars, tight drums, bass walking under the riff. Lyrics in Chinese (Mandarin). Lyrics: 雨停了又下 The human voice must be clearly audible and central in the mix.",paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0193/sa3_held_out_0193_s00_2026070900.wav,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0193/sa3_vocal_boost_held_out_0193_s00_2026070900.wav,9.80143626071801e-07,0.3138759131236658,0,1,4,1.0,8.0,0.365464985370636,8.0,44100,0.1997960694752364,-13.988261195274443,1.0,False,2823.551440366101,0.15575465149155793,0.09680266252585823,0.4174416661262512,8.0,44100,0.13237578938402367,-17.56382874179064,0.74755859375,False,3631.056506194277,0.2592048511793372,0.2915892047541482,0.051976680755615234,-3.575567546516197,807.5050658281762,0.19478654222828995,1
sa3pair_001,1,9,held_out_0193,1,2026070901,"A raw rock × electronic fusion (garage-flavored touches) piece driving at 140 bpm, featuring distorted guitars, tight drums, bass walking under the riff. Lyrics in Chinese (Mandarin). Lyrics: 雨停了又下","Clear lead human singing with audible vocals, prominent sung vocal melody, lead voice present throughout, intelligible vocal line. A raw rock × electronic fusion (garage-flavored touches) piece driving at 140 bpm, featuring distorted guitars, tight drums, bass walking under the riff. Lyrics in Chinese (Mandarin). Lyrics: 雨停了又下 The human voice must be clearly audible and central in the mix.",paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0193/sa3_held_out_0193_s01_2026070901.wav,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0193/sa3_vocal_boost_held_out_0193_s01_2026070901.wav,1.4423578572703112e-06,0.3915645865569599,0,1,4,1.0,8.0,0.3219166696071625,8.0,44100,0.1819380611602706,-14.8015287539958,1.0,False,3112.024188825157,0.1866626576018958,0.09680266252585823,0.36420392990112305,8.0,44100,0.1350751618906125,-17.388490065535457,1.0,False,2969.455611729182,0.1877393139987885,0.2915892047541482,0.04228726029396057,-2.586961311539657,-142.56857709597534,0.19478654222828995,1
sa3pair_002,2,10,held_out_0193,2,2026070902,"A raw rock × electronic fusion (garage-flavored touches) piece driving at 140 bpm, featuring distorted guitars, tight drums, bass walking under the riff. Lyrics in Chinese (Mandarin). Lyrics: 雨停了又下","Clear lead human singing with audible vocals, prominent sung vocal melody, lead voice present throughout, intelligible vocal line. A raw rock × electronic fusion (garage-flavored touches) piece driving at 140 bpm, featuring distorted guitars, tight drums, bass walking under the riff. Lyrics in Chinese (Mandarin). Lyrics: 雨停了又下 The human voice must be clearly audible and central in the mix.",paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0193/sa3_held_out_0193_s02_2026070902.wav,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0193/sa3_vocal_boost_held_out_0193_s02_2026070902.wav,8.962472434214504e-07,0.26808268398585977,0,1,4,1.0,8.0,0.31640881299972534,8.0,44100,0.21550557945474125,-13.33082962885493,1.0,False,3032.0170738108677,0.1810610987611956,0.09680266252585823,0.3003397583961487,8.0,44100,0.153336944849119,-16.287063881252283,0.879638671875,False,3245.4391149094786,0.18977355517729055,0.2915892047541482,-0.01606905460357666,-2.956234252397353,213.42204109861086,0.19478654222828995,1
sa3pair_003,3,11,held_out_0193,3,2026070903,"A raw rock × electronic fusion (garage-flavored touches) piece driving at 140 bpm, featuring distorted guitars, tight drums, bass walking under the riff. Lyrics in Chinese (Mandarin). Lyrics: 雨停了又下","Clear lead human singing with audible vocals, prominent sung vocal melody, lead voice present throughout, intelligible vocal line. A raw rock × electronic fusion (garage-flavored touches) piece driving at 140 bpm, featuring distorted guitars, tight drums, bass walking under the riff. Lyrics in Chinese (Mandarin). Lyrics: 雨停了又下 The human voice must be clearly audible and central in the mix.",paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0193/sa3_held_out_0193_s03_2026070903.wav,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0193/sa3_vocal_boost_held_out_0193_s03_2026070903.wav,1.1765788967827213e-06,0.21531956705714914,0,1,4,1.0,8.0,0.36352428793907166,8.0,44100,0.21351290417912225,-13.411517443745833,1.0,False,2805.6420067845456,0.13354662676747853,0.09680266252585823,0.3071267604827881,8.0,44100,0.16402050565801057,-15.70203707106785,1.0,False,3399.745658947908,0.209472392416843,0.2915892047541482,-0.05639752745628357,-2.2905196273220163,594.1036521633623,0.19478654222828995,1
sa3pair_004,4,12,held_out_0193,4,2026070904,"A raw rock × electronic fusion (garage-flavored touches) piece driving at 140 bpm, featuring distorted guitars, tight drums, bass walking under the riff. Lyrics in Chinese (Mandarin). Lyrics: 雨停了又下","Clear lead human singing with audible vocals, prominent sung vocal melody, lead voice present throughout, intelligible vocal line. A raw rock × electronic fusion (garage-flavored touches) piece driving at 140 bpm, featuring distorted guitars, tight drums, bass walking under the riff. Lyrics in Chinese (Mandarin). Lyrics: 雨停了又下 The human voice must be clearly audible and central in the mix.",paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0193/sa3_held_out_0193_s04_2026070904.wav,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0193/sa3_vocal_boost_held_out_0193_s04_2026070904.wav,9.130822499230615e-07,0.7627127466704141,0,1,4,1.0,8.0,0.3273881673812866,8.0,44100,0.17779622861192265,-15.001549109206131,1.0,False,3771.689771834936,0.28980640388299433,0.09680266252585823,0.24570214748382568,8.0,44100,0.12844561335439472,-17.82561446143052,0.767822265625,False,3252.102485301129,0.2090709366405049,0.2915892047541482,-0.08168601989746094,-2.8240653522243875,-519.587286533807,0.19478654222828995,1
sa3pair_005,5,13,held_out_0193,5,2026070905,"A raw rock × electronic fusion (garage-flavored touches) piece driving at 140 bpm, featuring distorted guitars, tight drums, bass walking under the riff. Lyrics in Chinese (Mandarin). Lyrics: 雨停了又下","Clear lead human singing with audible vocals, prominent sung vocal melody, lead voice present throughout, intelligible vocal line. A raw rock × electronic fusion (garage-flavored touches) piece driving at 140 bpm, featuring distorted guitars, tight drums, bass walking under the riff. Lyrics in Chinese (Mandarin). Lyrics: 雨停了又下 The human voice must be clearly audible and central in the mix.",paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0193/sa3_held_out_0193_s05_2026070905.wav,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0193/sa3_vocal_boost_held_out_0193_s05_2026070905.wav,8.325543361240061e-07,0.32718048479744316,0,1,4,1.0,8.0,0.3281365633010864,8.0,44100,0.19809215012306444,-14.062654681635305,1.0,False,2852.187902722461,0.18949364219809647,0.09680266252585823,0.36363160610198975,8.0,44100,0.15931962523133902,-15.954614477108684,1.0,False,3537.77730816576,0.21583312447744263,0.2915892047541482,0.03549504280090332,-1.8919597954733796,685.5894054432993,0.19478654222828995,1
sa3pair_006,6,14,held_out_0193,6,2026070906,"A raw rock × electronic fusion (garage-flavored touches) piece driving at 140 bpm, featuring distorted guitars, tight drums, bass walking under the riff. Lyrics in Chinese (Mandarin). Lyrics: 雨停了又下","Clear lead human singing with audible vocals, prominent sung vocal melody, lead voice present throughout, intelligible vocal line. A raw rock × electronic fusion (garage-flavored touches) piece driving at 140 bpm, featuring distorted guitars, tight drums, bass walking under the riff. Lyrics in Chinese (Mandarin). Lyrics: 雨停了又下 The human voice must be clearly audible and central in the mix.",paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0193/sa3_held_out_0193_s06_2026070906.wav,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0193/sa3_vocal_boost_held_out_0193_s06_2026070906.wav,8.85012408218634e-07,0.5664265013220972,0,1,4,1.0,8.0,0.2618933320045471,8.0,44100,0.1810174646979583,-14.84559044117487,1.0,False,2941.4110756775544,0.19623396002392682,0.09680266252585823,0.3732994794845581,8.0,44100,0.147078612389758,-16.6490095225299,0.88916015625,False,3273.0863508969655,0.1806586470919424,0.2915892047541482,0.11140614748001099,-1.803419081355031,331.6752752194111,0.19478654222828995,1
sa3pair_007,7,15,held_out_0193,7,2026070907,"A raw rock × electronic fusion (garage-flavored touches) piece driving at 140 bpm, featuring distorted guitars, tight drums, bass walking under the riff. Lyrics in Chinese (Mandarin). Lyrics: 雨停了又下","Clear lead human singing with audible vocals, prominent sung vocal melody, lead voice present throughout, intelligible vocal line. A raw rock × electronic fusion (garage-flavored touches) piece driving at 140 bpm, featuring distorted guitars, tight drums, bass walking under the riff. Lyrics in Chinese (Mandarin). Lyrics: 雨停了又下 The human voice must be clearly audible and central in the mix.",paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0193/sa3_held_out_0193_s07_2026070907.wav,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0193/sa3_vocal_boost_held_out_0193_s07_2026070907.wav,1.1733784047734523e-06,0.21649723797294745,0,1,4,1.0,8.0,0.3319385051727295,8.0,44100,0.17466642700184004,-15.155811272869455,1.0,False,3383.5421096476844,0.24539852127859205,0.09680266252585823,0.3953287601470947,8.0,44100,0.0945184079884461,-20.489672039493275,0.83740234375,False,3233.9429656520883,0.17176218967721438,0.2915892047541482,0.06339025497436523,-5.33386076662382,-149.59914399559602,0.19478654222828995,1
sa3pair_008,8,40,held_out_0204,0,2026071300,"A thrash-paced metal piece energetic around 135 bpm, featuring down-tuned bass walking under a half-time groove, with a multi-section arc, with a half-time breakdown at 2:00, in English. Lyrics: we played that record so many times / the needle wore a path","Clear lead human singing with audible vocals, prominent sung vocal melody, lead voice present throughout, intelligible vocal line. A thrash-paced metal piece energetic around 135 bpm, featuring down-tuned bass walking under a half-time groove, with a multi-section arc, with a half-time breakdown at 2:00, in English. Lyrics: we played that record so many times / the needle wore a path The human voice must be clearly audible and central in the mix.",paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0204/sa3_held_out_0204_s00_2026071300.wav,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0204/sa3_vocal_boost_held_out_0204_s00_2026071300.wav,1.5200739630481406e-06,0.06613098364316389,0,0,4,1.0,8.0,0.44392523169517517,8.0,44100,0.1577223181688754,-16.04213696769122,1.0,False,3345.4979960312926,0.25399064805144755,0.08348795345851356,0.4166213870048523,8.0,44100,0.20498624101664062,-13.76550576923474,1.0,False,3203.522588223913,0.22242535333064464,0.14590534142085487,-0.027303844690322876,2.2766311984564815,-141.97540780737972,0.06241738796234131,0
sa3pair_009,9,41,held_out_0204,1,2026071301,"A thrash-paced metal piece energetic around 135 bpm, featuring down-tuned bass walking under a half-time groove, with a multi-section arc, with a half-time breakdown at 2:00, in English. Lyrics: we played that record so many times / the needle wore a path","Clear lead human singing with audible vocals, prominent sung vocal melody, lead voice present throughout, intelligible vocal line. A thrash-paced metal piece energetic around 135 bpm, featuring down-tuned bass walking under a half-time groove, with a multi-section arc, with a half-time breakdown at 2:00, in English. Lyrics: we played that record so many times / the needle wore a path The human voice must be clearly audible and central in the mix.",paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0204/sa3_held_out_0204_s01_2026071301.wav,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0204/sa3_vocal_boost_held_out_0204_s01_2026071301.wav,9.14868980596903e-06,0.19491390480649148,0,1,4,1.0,8.0,0.4416278004646301,8.0,44100,0.17018366895665574,-15.381642354158947,1.0,False,3230.0777982221684,0.23831164439443261,0.08348795345851356,0.3796747326850891,8.0,44100,0.16650707602885234,-15.571346112224063,0.900634765625,False,2928.6142163014133,0.18948786897843184,0.14590534142085487,-0.061953067779541016,-0.1897037580651162,-301.46358192075513,0.06241738796234131,1
