clip_id,label_a_equivalent,true_label,provenance,source_bucket,rater,classification,media_class,clip_path,media_sha256,split
0462eb3b91,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0186_974bb909f260.wav,cc68f63eb4d2c1cf21e092f183459250b3a774dd8d75a54d767fbaed1bac49a6,reference_only
05ce645a00,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0375_6583ccd2159b.wav,5539b3b22c7d3004cf2b10d27138c1549108c18fbbc10d992a1810a81d18b853,reference_only
09f81ecff2,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0410_8446dfa77b62.wav,9f45a501eca26a26e0bc46e2129a8a5217851aad67bdca73e7090c9528029a49,reference_only
0c944609f0,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0663_d40cba210a01.wav,181c0377746360d5ed6cc33ebadedafdf704bc3cd763b7f0e765ed4673f429c6,reference_only
0cc3ea5a73,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0421_dac3243f8e5f.wav,86c88e05b1d64102e602718f539b7857f6a40565811168fa0e1153e31e9aafbc,reference_only
0d3315c21f,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0123_65afee322263.wav,b7248b4679e598b6d960dcb4ef148d6fa2d17296a66f6a9e48e9a9532fb17fd6,reference_only
0ec02e217b,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0236_478362009a33.wav,d319f977af187e6e8a55990ba3b16cb6ac3c18e2dbf1f1d076b8e5c57471447b,reference_only
10b5a4a982,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0437_f520ccdf1cae.wav,0c83890a55f7b6af78e225aab5f9cd2f438fc506986cbc49f5a95fbb3b435f28,heldout
14b128eef4,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0509_0b45d7de17e5.wav,24357be13b98c62f917ec5f52a49ddfa9bcee80d7965ab6f5803359b708bfb65,heldout
1592c7c9a9,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0535_58533f52c8d7.wav,bb513016166986e98d08d7cc2c8d9d75f30ae69540c700ede656796e019f7d74,reference_only
17c9c14d1f,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0502_95ced68c584f.wav,6f64d324a0ffd12fc8ca80257f935d3da4f5599432f090c04ac14dd92abac921,heldout
18a56a64a0,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0617_862c4e1adf94.wav,52c85995932630b024a8ec48d9ce8b703a45697d854ac9cd93868265d2fda9e0,reference_only
