blind_id,original_prompt,audio_a,audio_b,prompt_fidelity_preference,quality_preference,constraint_preference,notes
sa3pair_01_300bc3ad25,"A doomy metal tune driving at 140 bpm, featuring tremolo-picked rhythm guitar, blast beats, layered screams, in verse-chorus form, with a clean intro into a heavy main riff, in English. Lyrics: the train pulled out at six / I did not wave / I stood by the window and counted the cars",audio/sa3pair_01_300bc3ad25_A.wav,audio/sa3pair_01_300bc3ad25_B.wav,,,,
sa3pair_02_79d05646e0,"A modal jazz track around 110 bpm, featuring vibraphone, bass, and light cymbal washes. Lyrics in English. Lyrics: I changed all the locks / and then changed them again",audio/sa3pair_02_79d05646e0_A.wav,audio/sa3pair_02_79d05646e0_B.wav,,,,
sa3pair_03_1e1fa9f2fb,Could we try a doomy metal piece upbeat? Nothing fancy. Lyrics: the diner had two specials / we chose the third option / we chose to leave without ordering,audio/sa3pair_03_1e1fa9f2fb_A.wav,audio/sa3pair_03_1e1fa9f2fb_B.wav,,,,
sa3pair_04_96d79071bc,"A mid-90s alt-rock rock × electronic fusion (ambient-techno touches) song very fast, 175+ bpm, featuring two interlocking guitars, one clean one driven, with a melodic bassline. Lyrics in English. Lyrics: I am keeping a list / of things you would have liked / so far it is mostly small dogs",audio/sa3pair_04_96d79071bc_A.wav,audio/sa3pair_04_96d79071bc_B.wav,,,,
sa3pair_05_c5d8c192c0,Progressive metal mood. Around 130 bpm. Lyrics: I baked the same bread / for a week / we played that record so many times / the needle wore a path,audio/sa3pair_05_c5d8c192c0_A.wav,audio/sa3pair_05_c5d8c192c0_B.wav,,,,
sa3pair_06_4c6456980f,"A sample-heavy hip_hop cut with a steady beat near 100 bpm, featuring rolling 808s, snappy hats, soulful Rhodes chops. Lyrics in English. Lyrics: I keep my receipts / in the same drawer / I planted the same tomatoes / in the same soil",audio/sa3pair_06_4c6456980f_A.wav,audio/sa3pair_06_4c6456980f_B.wav,,,,
sa3pair_07_5d0dd7a2e5,"A progressive metal piece a slow, featuring dropped-tuning guitars, double-kick drums, growled vocals. Lyrics in English. Lyrics: the sea was loud that day / the sea was always loud",audio/sa3pair_07_5d0dd7a2e5_A.wav,audio/sa3pair_07_5d0dd7a2e5_B.wav,,,,
sa3pair_08_14c2c093f7,"A stoner-fuzz metal number at mid-tempo around 105 bpm, featuring dropped-tuning guitars, double-kick drums, growled vocals, in 32-bar AABA form, with an instrumental coda built on the opening motif, in English. Lyrics: we passed three lighthouses / none of them blinked / we took it as a sign of something",audio/sa3pair_08_14c2c093f7_A.wav,audio/sa3pair_08_14c2c093f7_B.wav,,,,
sa3pair_09_9ae84769f4,Can I get a ambient-techno electronic track steady? Lyrics: the old hotel sign / flickers on and off in the rain,audio/sa3pair_09_9ae84769f4_A.wav,audio/sa3pair_09_9ae84769f4_B.wav,,,,
sa3pair_10_ae92978f71,"A sun-soaked pop song double-time at 168 bpm, featuring vintage drum machine and bell-like leads. Lyrics in English. Lyrics: I am keeping a list / of things you would have liked",audio/sa3pair_10_ae92978f71_A.wav,audio/sa3pair_10_ae92978f71_B.wav,,,,
sa3pair_11_8ac940862b,"A synthwave-leaning electronic × folk fusion (plain-spoken touches) composition around 80 bpm, featuring warm analog bass, claps on 2 and 4, slowly opening filter. Lyrics in English. Lyrics: winter took its time / the roof learned a new noise / winter is generous with silence / we took what it offered",audio/sa3pair_11_8ac940862b_A.wav,audio/sa3pair_11_8ac940862b_B.wav,,,,
sa3pair_12_0732cbbb2a,"A playful pop piece frantic, around 170 bpm, featuring syncopated synth bass and reverb-washed snare. Lyrics in English. Lyrics: I taught the cat the lights / I taught the cat the silence",audio/sa3pair_12_0732cbbb2a_A.wav,audio/sa3pair_12_0732cbbb2a_B.wav,,,,
sa3pair_13_89b57758f1,Something deep-house: a electronic piece around 100 bpm. Lyrics: the elevator song / is still the same / the elevator song knows us,audio/sa3pair_13_89b57758f1_A.wav,audio/sa3pair_13_89b57758f1_B.wav,,,,
sa3pair_14_c8320a86ef,"A vintage soul-flip hip_hop tune double-time at 168 bpm, featuring wide trap snares with detuned synth bass. Lyrics in English. Lyrics: the bus to the coast / leaves at four-fifteen / the diner stays open all night / because someone always shows up at three",audio/sa3pair_14_c8320a86ef_A.wav,audio/sa3pair_14_c8320a86ef_B.wav,,,,
sa3pair_15_17408999af,"A post-metal metal track lingering, featuring down-tuned bass walking under a half-time groove. Lyrics in English. Lyrics: the airport at night / has a kind of mercy / we will meet again / in a small town we never named",audio/sa3pair_15_17408999af_A.wav,audio/sa3pair_15_17408999af_B.wav,,,,
sa3pair_16_00f0d89a4c,A leftfield electronic tune at mid-tempo around 105 bpm. Lyrics in Chinese (Mandarin). Lyrics: 周末的电梯里,audio/sa3pair_16_00f0d89a4c_A.wav,audio/sa3pair_16_00f0d89a4c_B.wav,,,,
sa3pair_17_3d7e5589c0,"An industrial-edged metal cut around 110 bpm, featuring polyrhythmic riff in 7/8, syncopated drums, layered guitars. Lyrics in English. Lyrics: the train pulled out at six / I did not wave",audio/sa3pair_17_3d7e5589c0_A.wav,audio/sa3pair_17_3d7e5589c0_B.wav,,,,
sa3pair_18_8a597868d7,"A thrash-paced metal piece energetic around 135 bpm, featuring down-tuned bass walking under a half-time groove, with a multi-section arc, with a half-time breakdown at 2:00, in English. Lyrics: we played that record so many times / the needle wore a path",audio/sa3pair_18_8a597868d7_A.wav,audio/sa3pair_18_8a597868d7_B.wav,,,,
