rating_id,quality_preference,constraint_preference,overall_preference,confidence_1_to_5,notes,prompt_text,request_mode,request_revealed,quality_answer_sequence,reveal_sequence,constraint_answer_sequence,overall_answer_sequence,rating_source,bundle_rating_id,exported_at
bprime_0024_328797c16ae3,a,a,a,5,,A gritty rock song with a steady beat near 100 bpm. Lyrics in English.,vocal,True,1,2,3,4,pi:Richard,r_39060d4db162cbc0a243,2026-07-12T16:36:43.026Z
bprime_0058_70892ca1e91e,tie,a,a,3,,"An after-dinner folk piece at a brisk 145 bpm, featuring acoustic guitar, mandolin, upright bass, brushed snare, in alternating-section form, (fully instrumental, no vocals).",instrumental,True,5,6,7,8,pi:Richard,r_24d9a4c6881331740647,2026-07-12T16:36:43.026Z
bprime_0060_bfaeaf1d724f,tie,tie,tie,5,,"A smoky jazz composition around 110 bpm. (fully instrumental, no vocals).",instrumental,True,9,10,11,12,pi:Richard,r_f2b9a2d11ca053e2dbd8,2026-07-12T16:36:43.026Z
bprime_0014_a61b5dfdd550,b,tie,b,2,,"An introspective jazz piece lingering, featuring guitar trio with hollow-body tone and brushed snare. (purely instrumental; treat lyrics field as empty).",instrumental,True,13,14,15,16,pi:Richard,r_9d2ffb8ac68d2484b3c0,2026-07-12T16:36:43.026Z
bprime_0025_9ba5013dffea,b,b,b,4,,"A blackened-tremolo metal composition at a brisk 145 bpm, featuring dropped-tuning guitars, double-kick drums, growled vocals. Lyrics in English.",vocal,True,17,18,19,20,pi:Richard,r_c6f479b4243da4860f4c,2026-07-12T16:36:43.026Z
bprime_0057_9cbc6c82b627,b,tie,tie,2,,"A gritty rock tune at a gentle tempo around 75 bpm, featuring two interlocking guitars, one clean one driven, with a melodic bassline, in verse-chorus form, with an outro that drops to just bass and voice, in English.",vocal,True,21,22,23,24,pi:Richard,r_373fdb8c00d14caf33ec,2026-07-12T16:36:43.026Z
bprime_0068_ad0a86ffeff2,b,tie,b,3,,"A smoky jazz composition around 110 bpm. (fully instrumental, no vocals).",instrumental,True,25,26,27,28,pi:Richard,r_a158614a1132a55ee230,2026-07-12T16:36:43.026Z
bprime_0054_54c4bfa082c4,tie,tie,tie,3,,"A wry folk composition frantic, around 170 bpm, featuring pump organ, acoustic guitar, distant violin. Lyrics in English.",vocal,True,29,30,31,32,pi:Richard,r_14c85ef5b0227b561ec6,2026-07-12T16:36:43.026Z
bprime_0053_811d9cf58e14,tie,tie,tie,5,,"A garage-energy rock × electronic fusion (club-ready touches) song energetic around 135 bpm, featuring open-chord rhythm guitar, hi-hat counting eighths, snare on 2 and 4, in a simple two-section form, with a quiet-loud-quiet arc, (fully instrumental, no vocals).",instrumental,True,33,34,35,36,pi:Richard,r_263e5e53a33231e28e81,2026-07-12T16:36:43.026Z
bprime_0049_3ac49dba7f6b,b,b,b,4,,"A raw rock × electronic fusion (garage-flavored touches) piece driving at 140 bpm, featuring distorted guitars, tight drums, bass walking under the riff. Lyrics in Chinese (Mandarin).",vocal,True,37,38,39,40,pi:Richard,r_769ffc6817b29091441a,2026-07-12T16:36:43.026Z
bprime_0073_a6d07d139ea8,tie,tie,tie,3,,An after-dinner folk piece with a steady beat near 100 bpm. Lyrics in English.,vocal,True,41,42,43,44,pi:Richard,r_015272cf9e04d8054afd,2026-07-12T16:36:43.026Z
bprime_0046_adf145f8e93f,a,tie,tie,1,,"A front-room folk song double-time at 168 bpm, featuring two-part harmony over strummed guitar, in a simple two-section form, with a wordless harmony bridge, in English.",vocal,True,45,46,47,48,pi:Richard,r_874a1c32f71fc8c71074,2026-07-12T16:36:43.026Z
bprime_0034_ae46fdab1578,b,a,tie,1,,A gritty rock song with a steady beat near 100 bpm. Lyrics in English.,vocal,True,49,50,51,52,pi:Richard,r_c6046bd693d6fa8f5c07,2026-07-12T16:36:43.026Z
bprime_0075_4bf9fcc35dc6,tie,tie,tie,3,,"A tender-yet-loud rock number very fast, 175+ bpm, featuring open-chord rhythm guitar, hi-hat counting eighths, snare on 2 and 4, in verse-chorus form, with an outro that drops to just bass and voice, in English.",vocal,True,53,54,55,56,pi:Richard,r_6450d2109e50b2b4cb20,2026-07-12T16:36:43.026Z
bprime_0036_5de58ee559d5,a,a,a,4,,A pastoral classical composition double-time at 168 bpm. (no vocals; the lead is the instrument named below).,instrumental,True,57,58,59,60,pi:Richard,r_9dac6722748fe73f92ea,2026-07-12T16:36:43.026Z
bprime_0020_3d5c1c9a396b,b,b,b,4,,"A gritty rock tune at a gentle tempo around 75 bpm, featuring two interlocking guitars, one clean one driven, with a melodic bassline, in verse-chorus form, with an outro that drops to just bass and voice, in English.",vocal,True,61,62,63,64,pi:Richard,r_a0a45d8cb99b3d3315df,2026-07-12T16:36:43.026Z
bprime_0050_11a00477f7f3,a,a,a,1,,"A tender folk tune upbeat around 130 bpm, featuring acoustic guitar, mandolin, upright bass, brushed snare, in a simple two-section form, with three verses and a recurring refrain, in English.",vocal,True,65,66,67,68,pi:Richard,r_b7e32ffaed582770f888,2026-07-12T16:36:43.026Z
bprime_0027_d81f8b64bf83,a,tie,tie,4,,"A warm and dusty hip_hop tune a slow, featuring minimal piano riff, low sub, distant strings. Lyrics in English.",vocal,True,69,70,71,72,pi:Richard,r_838c5bf5f108a8aed1b8,2026-07-12T16:36:43.026Z
bprime_0038_bc5b29193e38,b,tie,tie,4,,"A sun-soaked pop song around 110 bpm, featuring syncopated synth bass and reverb-washed snare. Lyrics in English.",vocal,True,73,74,75,76,pi:Richard,r_dad6bef126fa00135bd6,2026-07-12T16:36:43.026Z
bprime_0040_4f3991ba85b8,b,b,b,4,,"A synthwave-leaning electronic × folk fusion (plain-spoken touches) composition around 80 bpm, featuring warm analog bass, claps on 2 and 4, slowly opening filter. Lyrics in English.",vocal,True,77,78,79,80,pi:Richard,r_da53ee46c3152dfc77c3,2026-07-12T16:36:43.026Z
bprime_0062_4c7c1cb8ec1d,b,b,b,5,,A midwest-emo-tinged rock cut blistering 180 bpm. Lyrics in English.,vocal,True,81,82,83,84,pi:Richard,r_90b4d743728dcb428d5b,2026-07-12T16:36:43.026Z
bprime_0063_3a0a02941f61,tie,tie,tie,4,,"A smoky jazz composition around 110 bpm. (fully instrumental, no vocals).",instrumental,True,85,86,88,87,pi:Richard,r_481945d936cac57fb5dc,2026-07-12T16:36:43.026Z
